antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '422879e10f46682990de24d770e7f83d'})",frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.006517690875232775,0.08193668528864059,0.00186219739292365,0.2857142857142857,3.487012987012987,1.0,0.0013281594068710574,1.2852886405959032,0.7179006560449859,0.021505376344086023,0.22196464792813678,0.1542207792207792
"frozenset({'389d119b48cf3043d311335e499d9c6b', '422879e10f46682990de24d770e7f83d'})",frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.010242085661080074,0.08752327746741155,0.00186219739292365,0.18181818181818182,2.0773694390715667,1.0,0.0009657764877639413,1.1152493275398305,0.5239887111947319,0.019417475728155338,0.10333951762523191,0.10154738878143134
"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '389d119b48cf3043d311335e499d9c6b'})",frozenset({'422879e10f46682990de24d770e7f83d'}),0.008379888268156424,0.09683426443202979,0.00186219739292365,0.22222222222222224,2.294871794871795,1.0,0.0010507370764541264,1.1612130885873901,0.5690140845070422,0.018018018018018018,0.13883161512027495,0.12072649572649574
frozenset({'422879e10f46682990de24d770e7f83d'}),"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '389d119b48cf3043d311335e499d9c6b'})",0.09683426443202979,0.008379888268156424,0.00186219739292365,0.019230769230769232,2.294871794871795,1.0,0.0010507370764541264,1.0110636433344289,0.6247422680412371,0.018018018018018018,0.010942578548212352,0.12072649572649574
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),"frozenset({'389d119b48cf3043d311335e499d9c6b', '422879e10f46682990de24d770e7f83d'})",0.08752327746741155,0.010242085661080074,0.00186219739292365,0.02127659574468085,2.0773694390715667,1.0,0.0009657764877639413,1.011274390737592,0.5683673469387754,0.019417475728155338,0.011148695982866635,0.10154738878143134
frozenset({'389d119b48cf3043d311335e499d9c6b'}),"frozenset({'53759a2ecddad2bb87a079a1f1519f73', '422879e10f46682990de24d770e7f83d'})",0.08193668528864059,0.006517690875232775,0.00186219739292365,0.022727272727272728,3.487012987012987,1.0,0.0013281594068710574,1.0165865488718548,0.7768762677484786,0.021505376344086023,0.01631592400102241,0.1542207792207792
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),0.04283054003724395,0.05493482309124767,0.03165735567970205,0.7391304347826086,13.454679439941046,1.0,0.029304467539853454,3.6227498448168833,0.9670977340352483,0.47887323943661964,0.7239665881345041,0.6577008106116433
frozenset({'e53e557d5a159f5aa2c5e995dfdf244b'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.05493482309124767,0.04283054003724395,0.03165735567970205,0.576271186440678,13.454679439941046,1.0,0.029304467539853454,2.2589199255121044,0.9794842074760939,0.47887323943661964,0.5573105585965838,0.6577008106116433
frozenset({'d1c427060a0f73f6b889a5c7c61f2ac4'}),frozenset({'c4baedd846ed09b85f78a781b522f126'}),0.028864059590316574,0.01303538175046555,0.002793296089385475,0.0967741935483871,7.4239631336405525,1.0,0.0024170420537575122,1.0927108273476989,0.8910194950463407,0.07142857142857142,0.08484479610468655,0.1555299539170507
frozenset({'c4baedd846ed09b85f78a781b522f126'}),frozenset({'d1c427060a0f73f6b889a5c7c61f2ac4'}),0.01303538175046555,0.028864059590316574,0.002793296089385475,0.2142857142857143,7.423963133640553,1.0,0.0024170420537575122,1.2359911968850517,0.8767295597484278,0.07142857142857142,0.1909327489385016,0.1555299539170507
